IP,cf-meta-ip,端口,速度(Mbps),CF归属国,机房,TCP延迟(ms),TLS延迟(ms)
57.129.62.51,2001:41d0:701:1100::7f09,443,3.67,DE,FRA,156.15,159.7
77.239.104.229,2a01:ecc0:40:6ac::2,443,3.66,DE,FRA,146.62,153.01
91.132.160.255,91.132.160.255,443,3.64,DE,FRA,136.73,144.53
31.77.126.2,67.220.82.10,443,3.64,DE,FRA,150.86,143.11
142.132.178.99,142.132.178.99,443,3.64,DE,FRA,139.5,157.65
89.169.55.137,89.169.55.137,443,3.64,DE,FRA,150.36,153.66
5.175.211.86,5.175.211.86,443,3.62,DE,OTP,136.79,196.28
209.38.207.244,209.38.207.244,443,3.6,DE,FRA,144.79,147.06
195.201.150.4,195.201.150.4,443,3.6,DE,CDG,143.43,171.08
88.99.189.60,88.99.189.60,443,3.59,DE,CDG,143.85,170.2
213.21.241.85,2a01:ecc0:40:245::2,443,3.59,DE,FRA,148.84,159.6
91.149.223.242,2605:e440:1::2:c3,443,3.58,DE,FRA,137.52,186.64
45.43.89.236,45.43.89.236,443,3.58,DE,FRA,137.23,144.77
31.77.223.15,31.77.223.15,8443,3.58,DE,FRA,145.21,152.3
116.203.58.165,116.203.58.165,443,3.57,DE,CDG,142.83,175.17
85.121.53.39,85.121.53.39,443,3.56,DE,FRA,140.38,142.06
144.31.94.174,144.31.94.174,443,3.56,DE,FRA,149.75,150.35
87.120.126.127,94.156.232.238,443,3.55,DE,DUS,143.56,167.46
3.76.138.151,3.76.138.151,443,3.55,DE,CDG,136.12,160.09
83.219.249.189,83.219.249.189,443,3.55,DE,AMS,156.11,155.73
37.1.198.23,37.1.198.23,443,3.54,DE,FRA,139.25,157.36
92.118.8.206,92.118.8.206,443,3.51,DE,AMS,136.91,174.21
82.152.94.2,67.220.82.10,443,3.5,DE,FRA,142.08,147.06
45.131.71.168,45.131.71.168,443,3.5,DE,TXL,144.8,155.94
217.217.28.221,217.217.28.221,443,3.5,DE,FRA,141.84,151.76
193.23.216.88,193.23.216.88,443,3.49,DE,FRA,147.7,160.91
140.82.34.21,140.82.34.21,443,3.48,DE,FRA,138.9,147.08
132.226.197.103,132.226.197.103,443,3.48,DE,FRA,148.37,156.95
64.188.119.55,64.188.119.55,443,3.46,DE,FRA,150.91,177.51
94.143.231.154,94.143.231.154,8443,3.46,DE,FRA,137.0,168.1
87.120.126.131,94.156.232.238,443,3.46,DE,DUS,143.58,172.2
194.58.33.218,2a0f:cdc6:500:54::33:218,443,3.43,DE,ARN,147.96,194.28
47.245.131.215,47.245.131.215,443,3.43,DE,FRA,137.09,154.31
85.234.100.221,85.234.100.221,443,3.41,DE,MUC,147.32,165.1
217.154.192.155,217.154.192.155,443,3.41,DE,TXL,153.13,189.77
178.17.58.11,178.17.58.11,443,3.41,DE,FRA,148.99,151.19
94.249.186.65,94.249.186.65,443,3.4,DE,AMS,140.93,155.62
132.226.199.170,132.226.199.170,443,3.4,DE,FRA,142.26,150.18
86.53.110.160,86.53.110.160,443,3.38,DE,FRA,140.62,144.8
46.28.69.207,46.28.69.207,443,3.38,DE,DUS,134.46,140.22
87.106.38.212,87.106.38.212,443,3.38,DE,TXL,155.21,167.85
128.140.73.159,128.140.73.159,443,3.38,DE,CDG,143.8,175.15
169.40.138.79,169.40.138.79,443,3.35,DE,TXL,150.37,168.51
91.99.161.159,2a01:4f8:1c1a:3b4e::1,8443,3.35,DE,CDG,139.83,186.18
45.129.242.180,45.129.242.180,443,3.35,DE,DUS,133.24,183.16
78.17.74.129,78.17.74.129,443,3.35,DE,FRA,143.4,151.4
57.131.143.10,57.131.143.10,443,3.33,DE,FRA,151.03,171.32
94.141.123.243,109.122.197.45,443,3.33,DE,FRA,156.99,168.07
147.45.210.78,147.45.210.78,443,3.32,DE,FRA,147.26,154.3
162.19.247.245,162.19.247.245,443,3.32,DE,FRA,150.34,160.16
80.76.32.165,80.76.32.165,443,3.32,DE,AMS,143.82,170.83
91.107.240.211,91.107.240.211,8443,3.32,DE,CDG,147.1,188.02
87.120.205.64,2a0b:4141:820:819::2,443,3.31,DE,FRA,150.09,175.86
194.5.65.61,194.5.65.61,443,3.3,DE,FRA,149.65,171.66
185.233.81.207,2a04:5201:4::1c7,443,3.29,DE,AMS,136.99,154.2
5.182.87.164,5.182.87.164,443,3.29,DE,FRA,145.46,150.37
195.133.65.83,195.133.65.83,443,3.27,DE,MUC,146.48,168.93
8.209.83.19,8.209.83.19,443,3.27,DE,MUC,143.44,161.77
216.57.104.59,216.57.104.59,443,3.26,DE,AMS,138.94,169.6
130.61.15.72,130.61.15.72,443,3.25,DE,MUC,144.26,153.07
37.1.195.124,37.1.195.124,443,3.24,DE,LHR,148.36,176.21
185.121.179.57,185.121.179.57,8443,3.23,DE,FRA,148.96,157.58
